Study Num,Study Title (O),Authors (O),Journal (O),Volume (O),Issue (O),Pages (O),Project URL,Descriptors (O),Number of Authors (O),Number of Authors (R),1st author (O),"Citation Count, 1st author (O)",Institution 1st author (O),Senior author (O),"Citation count, senior author (O)",Institution senior author (O),1st author (R),"Citation count, 1st author (R)",Institution 1st author (R),Senior author (R),"Citation count, senior author (R)",Institution senior author (R),"Citation count, paper (O)","Institution prestige, 1st author (O)","Institution prestige, senior author (O)","Institution prestige, 1st author (R)","Institution prestige, senior author (R)",Number of Studies (O),Discipline (O),Number of research sites (O),Secondary data (O),Methodology expertise required (O),Opportunity for expectancy bias (O),Opportunity for lack of diligence (O),Surprising result (O),Exciting result (O),Internal conceptual replications (O),Successful conceptual replications (O),Internal direct replications (O),Successful direct replications (O),Feasibility (O),Status (R),Completion (R),Secondary (R),Contact Researcher (R),Study claim date (R),Analysis completion date (R),Coder's email (R),Replicated study number (R),Test statistic (O),N (O),Reported P-value (O),Calculated P-value (O),# Tails (O),Type of analysis (O),Type of effect (O),Description of effect (O),Effect size (O),Actual Power (O),80% power,90% power,95% power,Collect materials from authors,Planned Sample,Planned Power,Original Author's Assessment,OSC reviewer (O),Test statistic (R),N (R),P-value (R),Direction (R),# Tails (R),Type of analysis (R),Type of effect (R),Replicate (R),Power (R),Effect Size (R),OSC reviewer (R),Notes (R),Project audit complete (R),R check location (R),Degree (R),Year of highest degree (R),Current position (R),Domain expertise (R),Method expertise (R),Total publications (R),Peer-reviewed articles (R),Citations (R),Implementation quality (R),Data collection quality (R),Replication similarity (R),Differences (R),Effect similarity (R),Findings similarity (R),Difficulty of implimentation (R),Surprise of outcome (R),Dummy,Number of Research sites (R),Secondary data (R),Area of expertise (R),T_N..O.,T_Test.Statistic..O.,T_TestComparison..O.,T_df1..O.,T_df2..O.,T_Test.value..O.,T_p.comparison..O.,T_pval..O.,T_pval.recalc..O.,T_pval_USE..O.,T_sign..O.,T_r..O.,T_N..R.,T_Test.Statistic..R.,T_Test.Comparison..R.,T_df1..R.,T_df2..R.,T_Test.value..R.,T_p.comparison..R.,T_pval..R.,T_pval.recalc..R.,T_pval_USE..R.,T_sign..R.,T_r..R.,T_Comparison.effects..R.O.,Type of analysis (O),Type of analysis (R),,T_sign_O,T_sign_R,T_O_larger,T_N_O_for_tables,T_N_R_for_tables,Meta-analytic estimate (Fz),O within CI R,Meta-analysis significant
11,Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.,"D Mirman, JS Magnuson",JEPLMC,34,1,65-79,https://osf.io/rvkc5/,"Association Learning, Attention, Humans, Inhibition (Psychology), Orientation, Reaction Time, Reading, Semantics",2,2,Mirman,1002,University of Connecticut,Magnuson,3289,University of Connecticut,Bosco,323,Virginia Commonwealth University,Bosco,323,Virginia Commonwealth University,56,3.16,3.16,2.38,2.38,2,Cognitive,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,No opportunity for lack of diligence to affect the results,2.7,3.2,0,0,0,0,0,1,1,0,F Bosco,6/26/12,9/24/12,F Bosco,2,"F(1, 21) = 17.3",22,<.001,,,RM ANOVA,main effect,"Words with many near neighbors (e.g., chicken) were associated with an increased level of processing (i.e., categorized more slowly) compared to words with few near neighbors (e.g., hyena",__p^2 = .452,,9,15,22,Complete,30,0.95,1,J Goss,"F (1, 29) = 8.064",30,0.008,same,,RM ANOVA,main effect,yes,0.99,__p^2 = .218,E LeBel,,1,https://osf.io/tjzqr/,PhD or equivalent,2011,Assistant Professor (or equivalent),Moderate Expertise,Moderate Expertise,10,7,316,was about the same quality as the original study,was about the same as the average study,Virtually identical,"Replication relied on a sample of business students instead of a diverse undergraduate sample, as in the original study. Replication data were collected in a large computer lab with several students at a time (rather than one at a time, as in the original study).",Moderately similar,Somewhat similar,Not at all challenging,Results were slightly surprising,X,1,No data used was pre-existing,Industrial/organizational,22,F,is,1,21,17.3,<,0.001,0.000443918,0.000443918,,0.672084167,30,F,is,1,29,8.064,is,0.008,0.008168915,0.008168915,,0.466443576,,within 2x2 ANOVA,within 2x2 ANOVA,,1,1,1,21,29,0.63427333,1,1
12,When does between-sequence phonological similarity promote irrelevant sound disruption?,"JE Marsh, F Vachon, DM Jones",JEPLMC,34,1,243-8,https://osf.io/7rtcz/,"Attention, Humans, Mental Recall, Phonetics, Psychoacoustics, Semantics, Serial Learning, Speech Perception, Verbal Learning",3,1,Marsh,316,Cardiff University,Jones,8838,Cardiff University,Bell,455,Heinrich Heine University of DÙsseldorf,Bell,455,Heinrich Heine University of DÙsseldorf,12,3.07,3.07,1.79,1.79,1,Cognitive,1,Collected themselves,No expertise required,Slight opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,1.75,2.75,0,0,0,0,0,1,1,0,R Bell,9-4-2014,12-5-2014,M Kidwell,1,"F(2, 92) = 3.13",48,<.05,,,mixed ANOVA,interaction,there is a ñpronounced disruptive effect of between-sequence phonological similarity on the free recall of lists of end rhyming words.î ,d = .52,,46,80,118,Unavailable,80,0.9,1,A Laique,"F(2, 232) = 1.63",118,0.1986,same,,mixed ANOVA,interaction,no,0.95,_2 = .014,D Williams,,1,https://osf.io/pfmwj/,PhD or equivalent,2007,Post-doc or Research Scientist,High Expertise,High Expertise,37,36,452,was about the same quality as the original study,was about the same as the average study,Moderately similar,"German words were used as stimulus material instead of English words (because a sample of German participants was tested instead of a sample of UK participants, as in the original study). Thus, new sets of target words and distractor words were generated based on German word norms.",Moderately similar,Moderately similar,Moderately challenging,Results were slightly surprising,X,1,No data used was pre-existing,Cognitive,48,F,is,2,92,3.13,<,0.05,0.048407105,0.048407105,,0.178477629,118,F,is,2,232,1.63,is,0.1986,0.198165248,0.198165248,,0.08323764,,mixed ANOVA,2x3 mixed ANOVA,,1,0,1,92,232,,1,
13,Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.,"JI Campbell, ND Robert",JEPLMC,34,3,546-55,https://osf.io/gxvd3/,"Adolescent, Adult, Female, Humans, Male, Mathematics, Mental Recall, Practice (Psychology), Problem Solving, Retention (Psychology), Transfer (Psychology)",2,1,Campbell,4075,University of Saskatchewan,Campbell,4075,University of Saskatchewan,Ricker,9,UC Riverside,Ricker,9,UC Riverside,11,1.95,1.95,3.17,3.17,3,Cognitive,1,Collected themselves,Slight expertise required,Slight opportunity for researcher expectations to influence results,Moderate opportunity for lack of diligence to affect the results,2.5,3,0,0,0,0,0,1,1,0,A Ricker,7/16/14,1-6-2015,J Cohoon,3,"F(2, 68) = 41.59",36,<.001,,,mixed ANOVA,interaction,"response times were faster when participants were given the same mathematical operation to practice and to test, relative to operational change or a new problem",__p^2 = 0.550,,8,10,10,Unavailable,36,0.99,1,M Perugini,"F(2, 68) = 41.603",36,0.0001,same,,mixed ANOVA,interaction,yes,0.99,__p^2 = 0.55,J Meixner,,1,https://osf.io/z75yu/,Master's degree or equivalent,2012,PhD student,Some Expertise,Some Expertise,2,2,9,was of slightly higher quality than the original study,was better than the average study,Moderately similar,"Sample: Math education and background of the sample (Original article conducted in Canada with a less diverse sample than that of replication sample collected in Southern California). Materials: The task was re-created by the original articles in Eprime, with directions that were ""As close as they remembered"" them being, since the exact wording was not included in the 2008 article and there was no appendix with examples.",Moderately similar,Slightly similar,Moderately challenging,Results were somewhat surprising,X,1,No data used was pre-existing,Quantitative,36,F,is,2,68,41.59,<,0.001,1.59E-12,1.59E-12,,0.52450217,36,F,is,2,68,41.603,is,0.0001,1.58E-12,1.58E-12,,0.524539034,,2x3 mixed ANOVA,2 x 3 Mixed ANOVA,,1,1,0,68,68,,1,
14,Holistic processing of faces: Perceptual and decisional components.,"JJ Richler, I Gauthier, MJ Wenger, TJ Palmeri",JEPLMC,34,2,328-42,https://osf.io/93tkw/,"Adolescent, Adult, Attention, Cues, Decision Making, Discrimination (Psychology), Face, Female, Humans, Judgment, Male, Orientation, Pattern Recognition, Visual, Perceptual Distortion, Problem Solving, Psychophysics, Reaction Time",4,,Richler,878,Vanderbilt University,Gauthier,12542,Vanderbilt University,,,,,,,77,4.17,4.17,3.53,3.53,2,Cognitive,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,No opportunity for lack of diligence to affect the results,3.25,3.25,1,1,0,,0,2,0,0,,,,P Digiacomo,2,"F(2, 36) = 25.088",19,<.0001,,,3x2 repeated measures ANOVA,interaction,"interaction between misalignment and status, ""such that the difference between marginal c values based on status of the other part decreased with misalignment""",__p^2 = .477,,24,30,36,Complete,36,0.95,1,S Bahnik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,19,F,is,2,36,25.088,<,0.0001,1.50E-07,1.50E-07,,0.539560135,,,,,,,,,,,,,,,,,,,,,,,,
15,The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.,"JR Schmidt, D Besner",JEPLMC,34,3,514-23,https://osf.io/bscfe/,"Attention, Color Perception, Conflict (Psychology), Cues, Discrimination Learning, Humans, Mental Recall, Probability Learning, Reaction Time, Reading, Semantics",2,1,Schmidt,409,University of Waterloo,Besner,11136,University of Waterloo,Cloud,30,Lock Haven University,Cloud,30,Lock Haven University,92,2.98,2.98,1.44,1.44,2,Cognitive,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,No opportunity for lack of diligence to affect the results,3,3.33,0,0,0,0,0,1,1,0,M Cloud,7-6-2014,12-12-2014,J Cohoon,2,t(94) = 1.929,95,0.028,,1,dependent samples t-test,main effect,Low contingency trials produced significantly more errors than the medium contingency trials,d = 0.198,0.61,172,300,436,Complete,300,0.9,1,B Lassetter,t(241) = 3.955,242,0.0001,same,1,dependent samples t-test,main effect,yes,0.99,d = .255,L Lazarevic,,1,https://osf.io/ktgnq/,PhD or equivalent,1984,Professor (or equivalent),Some Expertise,Some Expertise,5,5,7,was about the same quality as the original study,was about the same as the average study,Virtually identical,"Participants were offered either a course credit slip or a $5 Amazon e-card for participation, while participants in the original study were only offered course credit. Also, we attached to the bottom of the computer monitor an index card that provided a review of ink color and keyboard key matches. There was no indication that such a hint was available to the original study participants.",Virtually identical,Virtually identical,Not at all challenging,Results were exactly as anticipated,X,1,No data used was pre-existing,Behavioral neuroscience/Comparative,95,t,is,1,94,1.929,is,0.028,0.056747409,0.028373705,,0.195136354,242,t,is,1,241,3.955,is,0.0001,1.01E-04,5.05E-05,,0.24687812,,dependent samples t-test,paired sample t-test,,1,1,0,94,241,0.236888799,1,1
16,Age of acquisition and word frequency effects in picture naming: A dual-task investigation.,"K Dent, RA Johnston, GW Humphreys",JEPLMC,34,2,282-301,,"Adolescent, Adult, Attention, Child, Child, Preschool, Female, Humans, Infant, Language Development, Male, Mental Recall, Neural Networks (Computer), Pattern Recognition, Visual, Phonetics, Pitch Discrimination, Reaction Time, Refractory Period, Psychological, Semantics, Verbal Behavior, Verbal Learning",3,,Dent,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,0,2,0,0,,,,J Cohoon,2,"F1(2, 82) = 5.53",42,<.01,,,ANOVA 2x2 repeated,main effect,in 2A: AoA effect was significant at stimulus onset asynchryony of 900ms,__p^2 = 0.119,,16,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,42,F,is,2,82,5.53,<,0.01,0.005585769,0.005585769,,0.24377044,,,,,,,,,,,,,,,,,,,,,,,,
17,The ultimate sampling dilemma in experience-based decision making.,K Fiedler,JEPLMC,34,1,186-203,https://osf.io/hp27x/,"Adult, Bias (Epidemiology), Choice Behavior, Cognition, Computer Simulation, Decision Making, Decision Theory, Feedback, Psychological, Female, Humans, Judgment, Male",1,2,Fiedler,8862,University of Heidelberg,Fiedler,8862,University of Heidelberg,Gl_ckner,2029,University of G_ttigen,Gl_ckner,2029,University of G_ttigen,28,2.69,2.69,2.08,2.08,2,Cognitive,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,2.75,2.5,2,2,0,0,0,1,1,0,A Gloeckner,7/28/14,1-8-2015,M Kidwell,2,"F(2, 76) = 8.67",39,<.001,,,RM ANOVA,interaction,The tendency to underestimate the frequency of positive and to overestimate the frequency of negative observations increased from the provider with the smallest to the provider with the highest overall frequency due to differential regression effects,__p^2 = 0.186,,28,37,45,Complete,45,0.95,1,G Jahn,"F(1.58, 72.4) = 19.48",47,0.00003,same,,RM ANOVA,interaction,yes,0.97,__p^2 = .28,J Chandler,,1,https://osf.io/4m8ir/,PhD or equivalent,2006,Professor (or equivalent),Moderate Expertise,Moderate Expertise,80,50,2002,was about the same quality as the original study,was better than the average study,Virtually identical,none,Virtually identical,Virtually identical,Very challenging,Results were exactly as anticipated,X,1,No data used was pre-existing,Cognitive,39,F,is,2,76,8.67,<,0.001,0.000405826,0.000405826,,0.304772411,47,F,is,1.58,72.4,19.48,is,0.00003,1.37E-06,1.37E-06,,0.434510306,,RMANOVA,repeated measures anova,,1,1,0,76,72.4,,1,
18,Native language influences on word recognition in a second language: A megastudy.,"K Lemh_fer, T Dijkstra, H Schriefers, RH Baayen, J Grainger, P Zwitserlood",JEPLMC,34,1,31-dec,,"Adult, Female, Humans, Male, Multilingualism, Perceptual Masking, Phonetics, Practice (Psychology), Reaction Time, Reading, Regression Analysis, Semantics, Verbal Learning, Vocabulary",6,,Lemh_fer,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,0,0,0,0,,,,J Cohoon,1,t(60368) = 2.18,80,<.03,,,mixed effects regression model,,"""words that are cognates in the participant's native language elicited shorter response latencies than noncognates""",_ = -.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,80,t,is,1,60368,2.18,<,0.03,0.029261311,0.029261311,,0.008872296,,,,,,,,,,,,,,,,,,,,,,,,
19,How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.,K Oberauer,JEPLMC,34,3,439-59,https://osf.io/gcj7x/,"Adolescent, Adult, Association Learning, Attention, Color Perception, Cues, Discrimination Learning, Female, Humans, Male, Memory, Short-Term, Orientation, Reaction Time, Serial Learning",1,7,Oberauer,5974,University of Bristol,Oberauer,5974,University of Bristol,Bosch,0,Radboud University Nijmegen,Neijenhuijs,0,Radboud University Nijmegen,11,2.69,2.69,2.52,2.52,3,Cognitive,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,No opportunity for lack of diligence to affect the results,2.67,3,0,0,0,0,0,1,1,0,K Neijenhuijs,6/19/14,3-1-2015,J Cohoon,3,"F(1, 31) = 14.2",32,<.001,,2,RM ANOVA,main effect,"""Accuracies on new probes were significantly lower for long lists"" than for short lists",__p^2 = .31,,21,26,32,Unavailable,30,0.94,1,B Lassetter,"F(1,19)=3.661",21,0.071,same,2,RM ANOVA,main effect,no,0.8,__p^2 = .162,J Cohoon,,1,https://osf.io/vhzi6/,Bachelor's degree or equivalent,2013,Master's student,Some Expertise,Slight Expertise,1,0,0,was about the same quality as the original study,was about the same as the average study,Very similar,Participants in the original were German students in their last year of high school in Germany. Participants in the replication are German students in their first year of university in the Netherlands.,Moderately similar,Slightly similar,Moderately challenging,Results were slightly surprising,X,1,No data used was pre-existing,Cognitive,32,F,is,1,31,14.2,<,0.001,0.000692486,0.000692486,,0.560499145,21,F,is,1,19,3.661,is,0.071,0.070889711,0.070889711,,0.401939168,,repeated measures ANOVA,Repeated Measures ANOVA,,1,0,1,31,19,0.555710273,1,1
20,"Intentional forgetting is easier after two ""shots"" than one.","L Sahakyan, PF Delaney, ER Waldum",JEPLMC,34,2,408-14,https://osf.io/bzdr2/,"Attention, Humans, Inhibition (Psychology), Intention, Mental Recall, Paired-Associate Learning, Psycholinguistics, Semantics, Verbal Learning",3,2,Sahakyan,791,"University of North Carolina, Greensboro",Sahakyan,299,"University of North Carolina, Greensboro",Fiedler,299,MPI for Collective Goods,Fiedler,299,MPI for Collective Goods,21,2.84,2.84,3.02,3.02,3,Cognitive,1,Collected themselves,Slight expertise required,Slight opportunity for researcher expectations to influence results,Moderate opportunity for lack of diligence to affect the results,3.17,3.67,2,0,0,0,0,1,1,0,S Fiedler,1-1-2012,8/21/12,S Fiedler,3,"F(1,94) = 4.97",96,<.05,,,mixed ANOVA,interaction,"interaction between context strength and condition, ""showing that there was significant directed forgetting of spaced items but not of massed items""",_^2=.05,,78,102,126,Complete,102,0.9,1,F Renkewitz,"F(1, 106) = 0.04",108,0.84,same,,mixed ANOVA,interaction,no,0.92,__p^2 = .0004,F Renkewitz,,1,https://osf.io/2hasj/,PhD or equivalent,2013,Assistant Professor (or equivalent),Slight Expertise,Moderate Expertise,12,9,292,was about the same quality as the original study,was about the same as the average study,Very similar,Participants will be tested in groups of twelve in the MPI Decision Lab. Each seat is separated by privacy shields whereas the participants in the original study were tested individually. In the original study all the responses were spoken whereas in our replication the responses will be provided by key press. Additionally to the procedure of the original study we will ask participants in the forgetting condition to commit for trying to forget after finishing list 1. In the end we will additionally ask what they did in order to forget the 1st list. All changes are endorsed by the first author of the original study,Somewhat similar,Somewhat similar,Not at all challenging,Results were somewhat surprising,X,1,No data used was pre-existing,Cognitive,96,F,is,1,94,4.97,<,0.05,0.028172412,0.028172412,,0.224092029,108,F,is,1,106,0.04,is,0.84,0.841863775,0.841863775,,0.019422053,,mixed ANOVA,mixed ANOVA,,1,0,1,94,106,0.117373161,0,0
21,Semantic effects in naming perceptual identification but not in delayed naming: Implications for models and tasks.,"LH Wurm, SR Seaman",JEPLMC,34,2,381-98,,"Attention, Comprehension, Concept Formation, Decision Making, Humans, Judgment, Memory, Short-Term, Perceptual Distortion, Psychoacoustics, Psycholinguistics, Reaction Time, Semantics, Speech Perception, Verbal Behavior",2,,Wurm,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,0,0,0,0,,,,J Cohoon,4,B(444) = -.0643,12,<.05,,,polynomial regression,interaction,"significant, negative, nonlinear (quadratic) Danger x Usefulness interaction in the regression analysis for variables predicting noisy naming latency",SE = .0288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,12,B,is,,,-0.0643,<,0.05,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,
22,How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.,"LS Colzato, MT Bajo, W van den Wildenberg, D Paolieri, S Nieuwenhuis, W La Heij, B Hommel",JEPLMC,34,2,302-12,https://osf.io/p9thw/,"Adult, Attention, Color Perception, Cues, Female, Functional Laterality, Humans, Inhibition (Psychology), Male, Multilingualism, Orientation, Pattern Recognition, Visual, Psychomotor Performance, Reaction Time",7,1,Colzato,2307,Leiden University,Hommel,14579,Leiden University,Kappes,91,London School of Economics and Political Science,Kappes,91,London School of Economics and Political Science,176,2.6,2.6,4.1,4.1,3,Cognitive,2,Collected themselves,Moderate expertise required,No opportunity for researcher expectations to influence results,No opportunity for lack of diligence to affect the results,3.5,4.5,1,1,0,0,0,3,1,0,H Kappes,8/28/14,11/25/14,M Kidwell,3,"F(3, 93) = 5.23",18,0.002,,,RM ANOVA,interaction,"bilingual participants were significantly less successful than monolinguals at reporting the T2 target when it lagged a successfully identified T1 target by 2 items (i.e., at lag 3)",MSE = .009,,18,24,28,Complete,38,0.99,1,J Galak,"F(2.33, 90) = .38",32,0.72,same,,RM ANOVA,interaction,no,0.97,_2 = .01,L Lazarevic,,1,https://osf.io/kb59n/,PhD or equivalent,2012,Assistant Professor (or equivalent),No Expertise,Slight Expertise,14,11,102,was about the same quality as the original study,was about the same as the average study,Extremely similar,"Monolingual participants in the replication study speak English, whereas monolingual participants in the original study spoke Spanish. Bilingual participants in the replication study are bilingual in English plus one of eight other languages, whereas bilingual participants in the original study were bilingual in Dutch plus one of two other languages. Bilingual participants in the replication study acquired their second language at varied ages, whereas bilingual participants in the original study reportedly acquired both languages from birth.",Somewhat similar,Moderately similar,Very challenging,Results were moderately surprising,X,1,No data used was pre-existing,Social,18,F,is,3,93,5.23,is,0.002,0.002218001,0.002218001,,0.219359299,32,F,is,2.33,90,0.38,is,0.72,0.716617946,0.716617946,,0.064661345,,ANOVA,Repeated-measures,,1,0,1,93,90,,0,
23,How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.,"LS Colzato, MT Bajo, W van den Wildenberg, D Paolieri, S Nieuwenhuis, W La Heij, B Hommel",JEPLMC,34,2,302-12,,"Adult, Attention, Color Perception, Cues, Female, Functional Laterality, Humans, Inhibition (Psychology), Male, Multilingualism, Orientation, Pattern Recognition, Visual, Psychomotor Performance, Reaction Time",7,,Colzato,2307,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,
24,Priming addition facts with semantic relations.,"M Bassok, SF Pedigo, AT Oskarsson",JEPLMC,34,2,343-52,https://osf.io/sqim7/,"Adult, Attention, Female, Humans, Male, Mathematics, Mental Recall, Paired-Associate Learning, Problem Solving, Reaction Time, Semantics",3,3,Bassok,5489,University of Washington,Bassok,5489,University of Washington,Hung,0,University of Hong Kong,Tsang,0,University of Hong Kong,50,4.04,4.04,2.53,2.53,2,Cognitive,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,4,2.67,1,1,1,1,0,1,1,0,C Hung,8/19/13,1/23/15,C Hung,1,"F(1, 152) = 23.176",154,<.001,,,RM ANOVA,interaction,"""the difference between response latencies to sum and neutral targets...would be larger when the cue digits are primed with categorical primes than when they are primed with unrelated primes or with functionally related primes""",X,,55,72,89,Complete,86,0.95,1,J Arnal,"F(1, 48) = 4.22",49,0.045,same,,RM ANOVA,interaction,yes,0.76,"MSE = 9,999",J Matacotta,power was estimated based on small/medium effect size,1,https://osf.io/25vhj/,PhD or equivalent,2014,Post-doc or Research Scientist,Moderate Expertise,Moderate Expertise,17,17,0,was about the same quality as the original study,was about the same as the average study,Very similar,"Native English speakers were recruited in the original study while only university students who speak fluent English are sampled in the replication, though this difference does not result much difference in the actual outcome from the original findings.",Extremely similar,Very similar,Very challenging,Results were exactly as anticipated,X,1,No data used was pre-existing,Cognitive,154,F,is,1,152,23.176,<,0.001,3.54E-06,3.54E-06,,0.363732358,49,F,is,1,48,4.22,is,0.045,0.045417099,0.045417099,,0.284274426,,2x2 ANOVA (repeated measures),2x2 ANOVA (repeated measures),,1,1,1,152,48,0.360088936,1,1
25,Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.,"M Couture, D Lafond, S Tremblay",JEPLMC,34,3,524-32,https://osf.io/k9gp6/,"Adult, Attention, Discrimination Learning, Humans, Memory, Short-Term, Pattern Recognition, Visual, Practice (Psychology), Probability Learning, Retention (Psychology), Serial Learning",3,3,Couture,170,Laval University,Tremblay,2809,Laval University,Roebke,0,Wright State University,Roebke,0,Wright State University,15,1.59,1.59,1.79,1.79,1,Cognitive,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,No opportunity for lack of diligence to affect the results,1.5,1.5,0,0,0,0,0,1,1,0,M Roebke,7-11-2014,4-6-2015,M Kidwell,1,"F(3, 48) = 9.14",24,<.001,,2,mixed ANOVA,main effect,"""probability of producing a given response should increase as a function of the number of times the same response had previously been recalled,î even for errors",d = 1.51,,X,X,X,Complete,48,X,9,H Fuchs,"F(3, 59) = 5.681",63,0.002,same,,ANOVA,main effect,yes,X,__p^2 = .224,C Soderberg,,1,https://osf.io/3zg7e/,Master's degree or equivalent,2013,PhD student,Slight Expertise,Slight Expertise,0,2,0,was of slightly higher quality than the original study,was slightly better than the average study,Extremely similar,none,Extremely similar,Very similar,Not at all challenging,Results were slightly surprising,X,1,No data used was pre-existing,Industrial/organizational,24,F,is,3,48,9.14,<,0.001,6.83E-05,6.83E-05,,0.348120689,63,F,is,3,59,5.681,is,0.002,0.001737041,0.001737041,,0.2733272,,ANOVA,,,1,1,1,48,63,,,
